"id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
f58f5650-bb83-4f8d-8db6-7b43cb65e4ff,"Pâte feuilletée pur beurre, cuite","",509.0,28.7,19.0,57.0,1.05,1.2,5.05,1.03,1
"26327b55-5432-4b90-bfc5-4ecc53293ac2","Pâte phyllo ou Pâte filo, crue","",289.0,6.0,1.47,50.8,0.18,1.9,7.1,1.21,1
"11ae7c25-b46f-4486-a434-e6f789b8688a",Farine de maïs,"",361.0,2.1,0.27,78.1,0.64,2.55,6.23,0.0025,1
da1b10cd-39f4-47b1-897a-e149bb0ead89,"Pâte sablée pur beurre, surgelée, crue","",423.0,17.5,12.0,60.9,21.3,1.2,4.9,0.17,1
"0eadc8b1-789a-45da-927b-9e8987480491","Pâte feuilletée pur beurre, crue","",368.0,20.1,14.1,39.7,3.03,2.32,6.14,1.37,1
aeea47c4-55fd-44a2-b570-8c64eb348e0f,"Pâte feuilletée pur beurre, surgelée crue","",398.0,25.8,17.7,35.3,1.33,1.4,5.47,0.86,1
b759c8a8-cf75-40f8-b96a-9930a72ec5db,Farine de pois chiche,"",359.0,6.69,0.69,47.0,10.9,10.8,22.4,0.16,1
"1450dfb4-7db9-42d4-9dbf-90c27d689e28","Khatfa feuille de brick, préemballée","",283.0,1.5,0.1,59.0,2.0,2.5,7.0,3.25,1
"235d80d3-232c-4d8f-91b6-5404c7f85aee",Pâte à pizza cuite,"",324.0,7.1,1.74,55.3,3.3,2.5,8.5,1.7,1
cd4daf8b-7be2-42fe-8791-9f4b675b66d6,Farine de blé tendre ou froment T65,"",346.0,1.0,,67.6,1.5,3.5,14.9,0.03,1
"650f801c-90f3-403b-b01d-111547598c76","Pâte brisée, pur beurre, cuite","",497.0,23.9,16.1,61.1,3.22,1.7,8.31,1.25,1
"15d6baf5-8469-41f9-bd04-bb0fdd5cd8ea","Pâte brisée, matière grasse végétale, cuite","",505.0,26.4,3.93,58.3,,0.9,8.19,1.73,1
c5d545f5-a9e8-412e-bc27-89eeeb95d024,Farine de soja,"",460.0,21.4,3.04,22.9,7.5,10.0,39.2,0.019,1
"9af3689c-81b3-4a4d-ad51-e86f84357e44",Farine de blé tendre ou froment T110,"",343.0,1.5,0.27,68.6,1.6,6.8,10.3,0.13,1
"8f755537-b1b3-4b8c-abef-2e2d9767c85e",Farine de blé tendre ou froment T150,"",342.0,1.52,0.22,64.9,1.77,10.2,12.2,0.035,1
b9cb2eb4-520e-47b9-8997-1a1d266816ba,Farine de blé tendre ou froment T55 (pour pains),"",350.0,1.0,0.19,73.7,1.5,3.2,9.9,0.13,1
"857c5f23-07d5-4dc3-bc6f-afea4ae1ee0f",Farine de blé tendre ou froment T45 (pour pâtisserie),"",356.0,0.82,0.13,75.9,0.41,2.5,9.94,0.098,1
"142beb13-412f-4c2e-be25-52e953b1b63a",Farine d'épeautre (grand épeautre),"",352.0,3.0,0.5,64.0,1.3,9.3,12.5,0.13,1
"0ccc7ff4-c0cb-443e-9756-b55a7fbfda40",Amidon de maïs ou fécule de maïs,"",362.0,0.25,0.009,89.2,0.0,0.8,0.43,0.019,1
"962cc0b8-fa3a-45e3-87d5-236d75a135c3",Farine de seigle T85,"",344.0,1.37,0.15,70.7,0.93,7.15,8.7,0.0051,1
dc8a19d6-35fd-4bf8-a300-c3d1e0757d87,Farine de seigle T130,"",344.0,1.12,0.22,70.9,1.1,9.5,7.76,0.0061,1
b753c880-6aed-427f-9c70-cd0e696176e4,Farine de sarrasin,"",348.0,2.19,0.33,68.4,0.03,4.2,11.5,0.042,1
c2497856-9aaa-4a54-95ff-27e06a2b39d0,Farine de millet,"",350.0,4.1,0.76,63.2,0.5,9.7,10.2,0.13,1
a4b793ad-6067-48e0-983b-2ce553f107a1,"Pâte brisée, pur beurre, surgelée, crue","",387.0,20.7,11.5,43.3,7.55,1.6,6.2,0.83,1
"1cc0bd4d-468d-4579-b4e9-37dc928e9e77","Pâte à pizza fine, crue","",279.0,7.01,1.52,44.6,2.21,1.87,8.45,1.89,1
dc746314-9a55-4010-b875-9b538127c8f2,"Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen)","",,12.0,8.42,32.2,25.3,1.17,2.66,0.14,1
c8a7026c-a4aa-442b-bda2-e10fb7fa0050,"Sorbet, en bac","",,0.78,0.45,29.6,25.0,1.17,0.46,0.045,1
"6719ab39-41e2-4f69-bac7-76b648134240",Glace à l'eau,"",,0.2,0.19,20.8,20.1,0.2,0.066,0.02,1
"34d474b6-3a56-4c67-9085-48e2d8470a2a","Agar (algue), séché","",,0.3,0.061,,2.97,,4.36,0.13,1
"8286d8fc-856c-43a9-8196-b42a93dc3555",Huile de foie de morue,"",900.0,100.0,22.0,0.0,0.0,0.0,0.0,0.00005,1
"888d1ad9-a9ef-46fb-8809-c862ae4631bb",Lécithine de soja,"",779.0,83.0,12.6,8.0,3.3,0.0,0.0,0.038,1
"2c133aca-a6df-4b80-aa9b-ea84407aa3f9","Limande-sole, cuite à la vapeur","",90.1,2.27,0.12,0.0,0.0,0.0,17.4,0.3,1
"48366086-cac1-427b-9075-679a22f676ab",Pan bagnat,"",215.0,6.48,0.98,30.3,3.2,1.98,7.95,1.03,1
be8477bc-18b5-4af9-bc01-cf0553604a68,Pêche melba,"",119.0,3.62,1.62,18.8,18.2,1.54,2.02,0.063,1
cd2af09c-9762-4a01-ab03-4e1efd4c90e7,"Laurier, feuille","",353.0,8.36,2.28,48.6,48.6,26.3,7.61,0.058,1
"2d29c091-3243-4318-a6ca-87e5c2b8ca27","Éperlan, cru","",85.4,1.7,0.27,0.0,0.0,0.0,17.5,0.39,1
"1fc313da-6ccf-47aa-9b02-815440b45bfa",Vermicelles multicolores,"",,5.0,4.0,93.0,91.0,0.5,0.5,0.019,1
"9c813e0b-84d4-40a1-a937-c347071e569d","Sorbet, cône","",,6.74,4.47,39.3,27.6,0.9,2.04,0.051,1
"18f52f59-fcd3-4b03-a0d9-0e78a321fb36","Feuille de brick, cuite à sec sans matière grasse","",378.0,1.76,0.28,82.4,,3.0,6.75,,1
"1acb1930-f667-44aa-a86a-6a9e1730f2fe",Huile de carthame,"",900.0,100.0,6.69,0.0,0.0,0.0,0.0,0.0,2
"0df89dd1-368d-41dc-8ae0-43cfaf7f7214",Sucre roux,"",,0.0,0.0,97.3,95.5,0.0,0.12,0.1,1
f28be2d5-b1b2-4f33-afdf-b1663fab2a86,Glace au yaourt,"",,2.2,1.44,22.7,20.7,3.0,3.38,0.093,1
"46447b8c-5f74-40ca-98c8-827fae3cb6f3",Chouquette,"",381.0,18.6,9.89,42.6,27.1,6.1,7.76,1.08,1
"78d76786-8cb0-40bc-b433-05c7e359141f","Saupe, crue","",94.5,2.5,,0.0,0.0,0.0,18.0,,1
fc1315f0-901d-4cdf-b150-be3102ed51ab,Huile de saumon,"",900.0,100.0,,0.0,0.0,0.0,0.0,0.0,1
bcdba725-4d54-4b4b-a380-2d07c21ae965,"Sprat, cru","",186.0,11.9,3.32,0.0,0.0,0.0,19.8,,1
a8829d63-9c2c-43d8-813e-a85f77c5c844,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","",198.0,10.3,0.86,1.48,,1.0,24.8,,1
"06c36f41-f981-4d59-ba5f-73508ff2c039","Brioche, sans précision","",401.0,19.1,7.84,46.0,5.7,0.5,11.3,1.13,1
b4e13129-4614-4a67-af6f-8d3bef154e0a,Biscuit pâtissier meringué,"",,30.7,18.9,56.0,46.1,3.62,7.42,0.3,1
e5dcebf4-fc4f-4cf8-ba23-7639d40d51af,"Pomme de terre, sans peau, rôtie/cuite au four","",91.9,0.1,0.026,20.1,1.7,1.5,1.96,0.0036,1
"81dc379c-f268-419c-a51b-4a0691221e57","Pomme de terre, bouillie/cuite à l'eau","",80.5,0.34,0.094,16.7,0.86,1.8,1.8,0.052,1
"2f0e1f84-e17e-4590-a498-f35c145307e7","Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux","",247.0,25.6,16.3,3.8,,0.0,0.4,0.72,1
"6eca7d2a-90e2-4f90-9701-3ceaa084c0a6","Coriandre, graine","",346.0,17.8,0.97,13.0,,41.9,12.4,0.088,1
fd1ae9e8-bfff-4094-ae75-baf732c85288,Quatre épices,"",348.0,8.69,2.55,50.5,,21.6,6.09,0.19,1
"3fb4c24a-be93-448a-90b7-ee2d10b490d5",Mélange apéritif de graines salées et raisins secs,"",560.0,39.6,4.98,27.1,21.6,8.4,19.6,0.42,1
bb7a94fb-4684-40d3-be17-69175b67bb76,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","",194.0,1.33,0.35,15.7,,44.6,7.41,10.1,1
"3abd3785-6f43-4194-aadb-1b13bda8187d","Taboulé ou Salade de couscous, préemballé","",179.0,6.7,0.67,23.7,4.9,2.5,4.88,1.0,1
"21d33f49-8812-4368-983f-3e915badfc60","Salade de pomme de terre à la piémontaise, préemballée","",130.0,8.3,0.82,8.87,1.2,0.5,4.5,1.08,1
a0213cc5-83b2-4d33-9435-64890eaf4c51,"Crudité, sans assaisonnement (aliment moyen)","",29.9,0.7,0.12,3.07,2.27,1.51,0.94,0.031,1
"6743c93a-c87d-40f8-8b3c-42b5f8d7c3b2","Maquereau, rôti/cuit au four","",228.0,15.8,4.44,0.0,0.0,0.0,21.5,0.21,1
fa8f6111-d9b2-4082-9c04-39c29036df06,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée","",168.0,8.3,0.92,17.4,4.61,3.3,4.06,0.77,1
aa1e5c76-125a-4ed7-a3c1-e13e34f27a8c,"Maquereau, frit","",186.0,10.2,2.96,0.0,0.0,0.0,23.6,0.21,1
"020ab857-4880-4ad2-ad1e-724cd3b1ab1a","Merlan, frit","",125.0,3.61,0.94,0.0,0.0,0.0,23.1,0.43,1
"5ff174cb-16b3-461f-bf8c-03ad3b992a46","Salade de chou ou Coleslaw, avec sauce, préemballée","",105.0,8.1,0.63,5.78,4.72,3.0,0.94,0.88,1
"7a826dc7-a87d-432f-8dc0-01d3d558b45c","Merlan, cuit à la vapeur","",98.3,0.7,0.13,0.0,0.0,0.0,23.0,0.28,1
ebd7b4fc-be88-4ba2-8666-90b0dc858980,"Cabillaud, rôti/cuit au four","",94.6,0.6,0.13,0.0,0.0,0.0,22.3,0.23,1
f8a1e66b-8ef9-4d01-b60a-1231ea98a93a,"Morue, salée, bouillie/cuite à l'eau","",113.0,1.01,0.13,0.0,0.0,0.0,26.0,5.8,1
"6d5f4742-f6ed-4d6f-a331-4210b31d924d","Cabillaud, cuit à la vapeur","",106.0,0.95,0.16,0.0,0.0,0.0,24.5,0.16,1
f2397549-e3b6-4c76-b1c4-1b7be4c7d0c5,"Mulet, rôti/cuit au four","",143.0,4.86,1.43,0.0,0.0,0.0,24.8,0.18,1
b2bdad4b-d8cc-432e-89c5-e6e3be365758,Huile de sésame,"",900.0,100.0,14.9,0.0,0.0,0.0,0.0,0.0,2
abe3753a-074f-4a11-b65a-e7fd29daf269,"Raie, rôtie/cuite au four","",96.3,0.5,0.096,0.0,0.0,0.0,23.0,0.38,1
bf1640fe-7faf-429a-9ef0-64dfa8e6304a,"Roussette ou petite roussette ou saumonette, cuite","",256.0,17.2,4.11,0.0,0.0,0.0,25.4,0.2,1
