"id","id_old","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
"0f6a9154-8a5d-4f78-b881-9c65ea2b7090","6405bf73af4af6d531d50bba",Boulettes de poulet haché aux épices italiennes,Hello Fresh,137.0,5.68,1.88,3.5,1.4,0.63,17.7,1.3,1
ef37f7b2-3963-4b84-8e6a-67aba69f69c1,"6405bf43b9d07cd5d38d79fa",Filet mignon de bœuf,Hello Fresh,123.0,4.09,1.69,0.4,0.0,0.0,21.2,0.11,1
"40e62375-dab8-463d-940b-308652f73bbc","6405bfc0af4af6d531d50cc0",Filet mignon de porc,Hello Fresh,123.0,4.09,1.69,0.4,0.0,0.0,21.2,0.11,1
a582dd1a-3ded-4a1c-8dee-4eb3c445eea9,"5af2c163ae08b51b804e58f6",Filet mignon de porc,Hello Fresh,123.0,4.09,1.69,0.4,0.0,0.0,21.2,0.11,1
c6864931-dc2e-4d30-9d83-05801b145afe,"6514c2c1aab557d393d8cbee",Filet mignon de porc,Hello Fresh,123.0,4.09,1.69,0.4,0.0,0.0,21.2,0.11,1
b8300c69-4dbf-4fa9-9198-5564d3f6ac0f,"5c794b0ae3f3396d0b09a2b5",Boulettes de viande à l'italienne (porc et bœuf),Hello Fresh,,13.6,4.45,2.48,0.57,1.55,15.8,0.87,1
"47409069-99ed-4367-a238-42af7c8615ba","5e6f81184155e24253687d20",Boulettes végétales,Hello Fresh,211.0,10.6,1.11,7.98,3.47,5.45,17.6,1.51,1
"70394392-813a-48a8-af4e-66f4deb9bfc3","64073bdedf6297bb5beef149",Boulette thaï,Hello Fresh,,13.6,4.45,2.48,0.57,1.55,15.8,0.87,1
"600a709f-8b11-4988-9f6e-a8333bdb10b6","6405bf4db9d07cd5d38d7a2b",Fondue savoyarde aux 3 fromages RichesMonts,Hello Fresh,231.0,17.2,12.0,2.6,1.1,0.0,15.9,1.28,1
"353239d7-7ed9-40b0-b4ae-6fc1e47a4bc3","6405bf45af4af6d531d50afe",Fourme d'Ambert AOP,Hello Fresh,326.0,27.6,18.0,0.0,0.0,0.0,19.5,2.2,1
