"food_id","user_id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id","image_url"
"011f329e-1bd1-4399-abe5-87108f30796d",,"Brownie au chocolat, préemballé",,458.0,25.4,7.32,50.6,35.1,3.4,5.94,0.35,"4e427164-c134-4753-bd5b-e9ea22e67245",
f90b4986-ac3d-4e7b-9db8-06d0d38418c8,,"Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados)",,313.0,15.0,8.37,38.7,25.8,2.5,4.44,0.23,"4e427164-c134-4753-bd5b-e9ea22e67245",
"50707a65-338c-4ae3-a3c1-ec8c48bdcadd",,"Court-bouillon pour poissons, déshydraté",,260.0,23.0,16.0,7.0,4.5,2.5,5.0,47.5,"4e427164-c134-4753-bd5b-e9ea22e67245",
"8b406392-2885-4150-a632-21d71a0e32ab",,"Gaufre fine fourrée au miel, préemballée",,455.0,18.3,8.0,67.0,37.0,1.9,4.56,0.77,"4e427164-c134-4753-bd5b-e9ea22e67245",
"8408ccda-2ea9-49cc-9799-4bec9fd4f579",,"Beignet rond moelleux, sans fourrage, saupoudré de sucre",,404.0,23.7,9.46,39.4,10.7,2.0,7.25,1.11,"4e427164-c134-4753-bd5b-e9ea22e67245",
"39d0f3af-22df-4dc7-922f-8acea92ba99d",,Beignet à la confiture,,378.0,18.7,4.84,45.6,19.9,0.9,6.36,0.71,"4e427164-c134-4753-bd5b-e9ea22e67245",
b80a24aa-8b94-4708-a8d8-bb5f5ee7e98e,,"Beignet fourré aux fruits, préemballé",,362.0,16.0,6.05,47.6,14.5,2.15,5.65,0.78,"4e427164-c134-4753-bd5b-e9ea22e67245",
e2d3d9e3-4772-422b-b5e6-246e4c66f74a,,"Beignet fourré goût chocolat, préemballé",,420.0,22.5,8.41,45.9,18.6,2.6,7.31,0.7,"4e427164-c134-4753-bd5b-e9ea22e67245",
e887a38b-56a0-44b9-9918-ebe61c4e2e70,,"Cake aux fruits, préemballé",,360.0,12.6,1.6,55.2,35.8,2.1,4.19,0.59,"4e427164-c134-4753-bd5b-e9ea22e67245",
"94f9c8a1-8a69-4578-8a7a-faf1ac11b8c2",,"Glace ou crème glacée, bâtonnet, enrobé de chocolat",,328.0,19.8,13.3,33.4,27.9,1.23,3.35,0.16,"4e427164-c134-4753-bd5b-e9ea22e67245",
fd661fab-da65-4366-8666-b4ff4abd35c2,,"Glace ou crème glacée, bac ou pot (aliment moyen)",,,6.21,4.03,24.9,21.5,1.5,2.81,0.11,"4e427164-c134-4753-bd5b-e9ea22e67245",
"371d33c8-922f-4257-b639-c260cd851efb",,Profiterole avec glace vanille et sauce chocolat,,286.0,14.9,8.39,31.4,19.0,1.6,5.38,0.24,"4e427164-c134-4753-bd5b-e9ea22e67245",
f3b35f7f-be1a-4d3b-87e7-87481c28f264,,Dessert glacé type mystère ou vacherin,,275.0,10.7,6.53,40.5,33.7,2.18,3.12,0.12,"4e427164-c134-4753-bd5b-e9ea22e67245",
"39129db6-22fc-4caf-9d2e-ba373d6269ce",,"Dessert glacé, type sundae",,230.0,9.7,6.8,32.6,24.9,2.0,2.52,0.24,"4e427164-c134-4753-bd5b-e9ea22e67245",
a476e751-d6b2-4fbb-af1d-efdf5f7eaa07,,"Dessert glacé feuilleté, à partager",,262.0,16.1,13.3,26.2,21.9,0.94,2.65,0.18,"4e427164-c134-4753-bd5b-e9ea22e67245",
"23b9518d-95c6-4139-8708-bc7cecc6a7c9",,Omelette norvégienne,,212.0,6.5,3.9,34.8,32.7,0.5,3.6,0.15,"4e427164-c134-4753-bd5b-e9ea22e67245",
"404f48f6-9d77-4731-9727-f31c0df8753d",,Poire belle Hélène,,196.0,9.57,5.19,23.5,21.0,2.76,2.68,0.039,"4e427164-c134-4753-bd5b-e9ea22e67245",
d9374e9c-2b4c-4ef5-b7b1-564345f18d94,,Nougat glacé,,263.0,15.2,11.0,25.3,20.5,2.76,4.83,0.13,"4e427164-c134-4753-bd5b-e9ea22e67245",
"08a2cb8e-6dbd-4c28-b839-cd741aca989d",,Coupe glacée type café ou chocolat liégeois,,220.0,10.0,7.74,28.6,25.6,1.82,2.98,0.12,"4e427164-c134-4753-bd5b-e9ea22e67245",
e8eb84f1-be8f-49c2-8a3d-80d901fc6bc1,,Bûche glacée,,226.0,10.4,7.1,30.0,25.6,1.54,2.42,0.19,"4e427164-c134-4753-bd5b-e9ea22e67245",
"0ac53aa5-f028-44a9-84ff-67f2e5115b67",,Coupe glacée parfum pêche Melba ou poire Belle-Hélène,,163.0,3.36,1.79,32.2,31.4,0.35,0.89,0.094,"4e427164-c134-4753-bd5b-e9ea22e67245",
"5d400b4c-e701-4733-a4b3-ddd8dfd53dfc",,"Beurre à 82% MG, doux",,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,"4e427164-c134-4753-bd5b-e9ea22e67245",
ec577676-28d2-41e1-8843-8871644638ff,,"Beurre à 80% MG, demi-sel",,738.0,81.4,54.9,0.55,0.39,0.0,0.72,1.9,"4e427164-c134-4753-bd5b-e9ea22e67245",
f3c080e2-ea91-4590-bbbc-506904bf92f8,,"Beurre à 60-62% MG, à teneur réduite en matière grasse, doux",,550.0,60.6,40.1,0.7,0.2,0.0,0.56,0.045,"4e427164-c134-4753-bd5b-e9ea22e67245",
"231c3ba3-a458-466e-9194-78f152ca629e",,"Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel",,555.0,61.0,34.3,0.5,0.5,0.0,0.9,1.13,"4e427164-c134-4753-bd5b-e9ea22e67245",
"7a05743b-9943-49a6-a10b-6634ca420d5f",,"Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen)",,368.0,38.9,25.0,3.73,1.06,0.51,0.33,0.4,"4e427164-c134-4753-bd5b-e9ea22e67245",
"2eaec1ab-1b7b-45a3-b7b7-59fae9f36069",,"Beurre à teneur en matière grasse inconnue (allégé ou non), demi-sel (aliment moyen)",,727.0,80.2,53.7,0.55,0.4,0.0,0.73,1.86,"4e427164-c134-4753-bd5b-e9ea22e67245",
c4197c89-41db-48ba-adc2-3b7d4e816cab,,"Madeleine, pur beurre, préemballée",,,25.5,15.7,52.6,27.4,0.8,5.6,0.69,"4e427164-c134-4753-bd5b-e9ea22e67245",
"0a3d7f29-50b6-4e76-8263-f33f609f1e6c",,"Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen)",,741.0,81.5,54.5,0.99,0.84,0.017,0.68,0.073,"4e427164-c134-4753-bd5b-e9ea22e67245",
"71d9f9e5-9b6b-43d3-a477-ac108cafe61a",,"Beurre à 39-41% MG, léger, doux",,391.0,41.7,26.2,3.6,1.26,0.0,0.5,0.45,"4e427164-c134-4753-bd5b-e9ea22e67245",
"2c6726e5-23ee-458d-830b-1370e7ad9068",,"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux",,201.0,19.1,12.1,6.2,1.56,3.0,0.5,0.63,"4e427164-c134-4753-bd5b-e9ea22e67245",
"216b7be1-7f64-4b8b-ba3f-c18b0d87f95e",,"Matière grasse végétale (type margarine) à 80% MG, salée",,722.0,80.0,32.0,0.5,0.5,0.0,0.5,1.78,"4e427164-c134-4753-bd5b-e9ea22e67245",
"99bdf58f-b7f7-43b8-90ff-f06879064ac4",,"Matière grasse végétale ou margarine, 80% MG, doux",,726.0,80.4,25.1,0.3,0.3,0.0,0.39,0.43,"4e427164-c134-4753-bd5b-e9ea22e67245",
f0d18914-b2d6-41c1-9c3b-bbc4c26a5bb1,,"Matière grasse végétale (type margarine) à 70% MG, doux",,631.0,70.0,29.2,0.24,0.24,0.0,0.13,0.76,"4e427164-c134-4753-bd5b-e9ea22e67245",
a64e2f4e-69c0-4d9d-b799-997776ef3771,,"Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux",,548.0,60.6,14.1,0.55,0.2,0.0,0.5,0.37,"4e427164-c134-4753-bd5b-e9ea22e67245",
