"id","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","alim_nom_fr","kcal","protein","carbohydrate","fat","sugars","fiber","saturated_fat","sodium","unit_id"
"3870f4b1-0289-4c9c-bd8f-06146d8a49fc","fruits, légumes, légumineuses et oléagineux",légumes,légumes et leurs produits de la Martinique,"Cresson, feuille, cru, prélevé à la Martinique",,2.25,0.0,0.1,,2.1,,,1.0
"9cd77a1f-ff48-4040-8f3e-9cd8dd9340cb","fruits, légumes, légumineuses et oléagineux",fruits,fruits et leurs produits de la Martinique,"Mango bassignac, pulpe, cru, prélevé à la Martinique",,0.32,18.5,0.0,,3.2,,,1.0
db097e06-9272-43b8-b80c-bb4d2be21d9b,"fruits, légumes, légumineuses et oléagineux",fruits,fruits et leurs produits de la Martinique,"Mango moussache, pulpe, cru, prélevé à la Martinique",,1.28,20.9,0.0,,2.0,,,1.0
e6e40ec8-09ec-450d-8d5c-6289a8561d29,"fruits, légumes, légumineuses et oléagineux",fruits,fruits et leurs produits de la Martinique,"Mangue julie, pulpe, crue, prélevée à la Martinique",,0.71,18.3,0.0,,2.8,,,1.0
"1f7d530f-e241-4387-9ba9-78eeb07ce917","viandes, œufs, poissons et assimilés",poissons crus,"","Grondin, cru",94.0,19.0,0.0,2.0,0.0,0.0,,,1.0
d75ffdaf-b8b8-4b4e-b28b-ce3753c7e055,"viandes, œufs, poissons et assimilés",viandes cuites,abats,"Coeur, agneau, cuit",179.0,25.0,1.93,7.91,,0.0,3.14,0.16,1.0
d973c2e1-8e3a-46c6-9ddc-df6f4d3cc7e6,produits laitiers et assimilés,fromages et assimilés,fromages à pâte pressée,Saint-Paulin (fromage à pâte pressée non cuite demi-ferme),327.0,21.8,0.0,26.4,0.0,0.0,17.9,1.61,1.0
"33cdfefd-385b-484f-b052-45d16b6ce9fd",produits céréaliers,pains et assimilés,pains,"Pain courant, 400g ou boule",266.0,8.67,52.0,2.0,,2.6,0.42,1.33,1.0
"4e04f79f-5eb4-429f-b00a-2f4ea30e10f7","fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,"Lentille verte, bouillie/cuite à l'eau",127.0,10.1,16.2,0.58,0.2,8.45,0.093,0.015,1.0
"0b7fd17a-f1d9-4e09-a95c-f63d096ebacc",produits céréaliers,pains et assimilés,pains,Pain de campagne maison (avec farine pour machine à pain),240.0,8.75,46.7,0.9,,5.1,0.18,1.34,1.0
d240c960-a78e-43a7-ba38-30cc8ac499dd,produits laitiers et assimilés,fromages et assimilés,fromages à pâte pressée,Tomme ou tome de vache,350.0,21.1,0.0,29.4,0.0,0.0,19.4,1.28,1.0
"4800df4d-dbed-425f-a1f1-a5bfc49ab68f","viandes, œufs, poissons et assimilés",viandes cuites,bœuf et veau,"Veau, escalope, cuite",147.0,31.0,0.0,2.5,,0.0,0.82,0.15,1.0
a00c311a-8811-4650-9382-aa242e85a4a4,"fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse",38.4,4.44,4.53,0.6,0.0,0.9,0.18,0.028,1.0
"1b83c0d3-f290-4d68-82a5-985579edd915","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Épinard, bouilli/cuit à l'eau",28.1,3.38,0.85,0.7,0.0,3.5,0.13,0.03,1.0
c47072ea-f505-4d15-bac6-9354188c8151,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Granny Smith, pulpe, crue",53.9,0.5,11.4,0.5,10.6,2.6,0.01,0.013,1.0
"30fe1b4e-033b-47e3-a5d0-c9ff038ff3e6",produits laitiers et assimilés,fromages et assimilés,fromages à pâte molle,Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse,173.0,22.2,0.0,9.3,0.0,0.0,6.8,1.44,1.0
a47c3667-d794-4d1d-b77b-78642fc509e0,produits laitiers et assimilés,fromages et assimilés,fromages à pâte molle,Fromage de chèvre bûche,285.0,18.4,0.0,23.3,0.0,0.0,16.2,1.58,1.0
"07ff9b1a-5810-4044-a2dc-448ecc1c66d3","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Abricot, dénoyauté, cru",45.9,0.81,9.01,0.5,6.7,1.7,0.01,0.013,1.0
"50dc72dd-6224-4ba6-857a-c4406782e3f9","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Ananas, pulpe, cru",54.4,0.5,11.7,0.5,10.5,1.2,0.01,0.013,1.0
af988b68-55b9-4e9b-9102-9ee7d3a0d388,produits laitiers et assimilés,fromages et assimilés,fromages à pâte pressée,Emmental ou emmenthal,373.0,27.3,0.0,28.8,0.0,0.0,19.7,0.61,1.0
d5597daf-37cd-41fd-9bb8-f99eccfd03fb,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Banane, pulpe, crue",90.5,1.06,19.7,0.5,15.6,2.7,0.01,0.013,1.0
deaeff98-8b42-4c5f-b809-4ac6ee8bcaab,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Cerise, dénoyautée, crue",55.7,0.81,13.0,0.3,10.0,1.6,0.01,0.013,1.0
a6256804-ca4e-4d1f-b95d-d0881345ff25,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Citron, pulpe, cru",27.6,0.5,1.56,0.5,0.8,0.5,0.01,0.013,1.0
"07084e42-b6b3-4496-b8d3-40b3a0049479","viandes, œufs, poissons et assimilés",viandes cuites,bœuf et veau,"Veau, côte, grillée/poêlée",156.0,25.1,0.0,6.24,,0.0,2.11,0.25,1.0
"14a89608-2765-49a1-aa4a-4d68544cadb2","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Figue, crue",69.4,1.19,13.5,0.5,12.2,4.1,0.01,0.013,1.0
de620142-5a2c-4459-b40e-be6c5186a9c3,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Fraise, crue",38.6,0.63,6.03,0.5,5.6,3.8,0.01,0.013,1.0
"259fd656-b5f7-4968-bd26-7ad27aa3f9cc","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Framboise, crue",49.2,1.19,5.83,0.8,5.4,4.3,0.13,0.013,1.0
"293c3393-d60d-439d-91e6-76ab73d67998","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Fruit de la passion ou maracudja, pulpe et pépins, cru",101.0,2.13,10.9,3.0,8.5,6.8,0.54,0.013,1.0
"6f87bf7a-9ea9-4b86-8104-155448f5a36b","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Grenade, pulpe et pépins, crue",80.6,1.44,14.3,1.2,13.3,2.3,0.07,0.013,1.0
e71c0a9b-3c8a-42d8-889f-bad815238eb8,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Groseille, crue",68.5,1.56,7.06,0.7,6.63,4.6,0.21,0.013,1.0
"6f129a8a-840c-4378-97e7-4945235b618b","fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,"Légume sec, cuit (aliment moyen)",,8.38,12.1,0.62,1.31,9.34,0.12,0.012,1.0
c6dc40f0-3297-4d5b-96eb-8a709ff41baf,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Kiwi, pulpe et graines, cru",60.5,0.88,11.0,0.6,8.9,2.4,0.13,0.013,1.0
df4592d2-37d1-49e4-81c3-bad4eed42988,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Litchi, pulpe, cru",81.0,1.13,16.1,0.5,15.7,2.0,0.01,0.013,1.0
"52c732ce-1b6d-4972-ad93-98d83ceddd3a","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Clémentine ou Mandarine, pulpe, crue",47.3,0.81,9.17,0.5,8.6,1.7,0.01,0.013,1.0
"3e123cb1-efac-4c0b-96aa-e6da1f14ece5","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Mangue, pulpe, crue",73.9,0.63,14.3,0.5,12.9,1.6,0.01,0.013,1.0
"3721c1a9-1843-42ea-bffd-eb8a901fd159","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",62.7,1.13,14.8,0.5,10.6,1.3,0.01,0.06,1.0
e0a8ebd6-e61b-4894-8206-2950e1cd2aed,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pastèque, pulpe, crue",38.9,0.69,8.33,0.5,7.9,0.5,0.01,0.013,1.0
"2467a933-6c91-4045-adaa-784d6fd42885","viandes, œufs, poissons et assimilés",viandes cuites,porc,"Porc, filet mignon, cuit",168.0,26.1,0.0,7.1,,0.0,2.58,0.13,1.0
"09022603-68ea-461b-94c6-f022ce8119cb","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomelo (dit Pamplemousse), pulpe, cru",39.8,0.5,8.02,0.5,6.6,0.8,0.01,0.013,1.0
"6e637dec-04fd-4fba-8a12-39af3fc24633","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Prune Reine-Claude, crue",71.3,0.94,16.4,0.5,10.4,1.7,0.01,0.013,1.0
d8c908ba-fed9-4ca6-ba0f-93b508884337,"viandes, œufs, poissons et assimilés",viandes cuites,porc,"Porc, escalope de jambon, cuite",200.0,36.0,0.0,6.2,,0.0,1.85,0.19,1.0
cf16465c-7eb5-458e-89b2-fabd1ba419a2,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Raisin blanc, à gros grain (type Italia ou Dattier), cru",73.4,0.75,16.6,0.5,15.5,1.0,0.01,0.013,1.0
"964aa1ee-8ee4-4cfd-a01b-02efa9f1a6fe","viandes, œufs, poissons et assimilés",viandes cuites,agneau et mouton,"Agneau, côtelette, grillée",240.0,25.7,0.0,15.2,,0.0,6.52,0.31,1.0
"68fd9414-158d-4fa9-91c7-3270b41a9a27","viandes, œufs, poissons et assimilés",viandes cuites,porc,"Porc, rouelle de jambon, cuite",266.0,36.9,0.0,13.1,,0.0,,0.18,1.0
"15841b91-6e95-4977-88f9-9a210baaf847","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Kaki, pulpe, cru",68.6,0.88,14.3,0.3,13.9,3.4,0.01,0.013,1.0
e9074367-8da2-40e2-9c11-2070f0906b64,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Citron vert ou Lime, pulpe, cru",40.2,1.13,3.14,0.3,2.1,4.3,0.01,0.015,1.0
"54b88047-3ecc-45a8-bc95-2e3187a64f77","viandes, œufs, poissons et assimilés",viandes cuites,dinde,"Dinde, escalope, sautée/poêlée",124.0,28.5,0.0,1.09,,0.0,0.51,0.16,1.0
"03c009f9-0426-4094-b0dd-e3bf7419bc06","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Golden, pulpe, crue",54.9,0.5,11.7,0.5,11.3,2.5,0.01,0.013,1.0
"61c0ea7c-18c2-497d-9fe9-a91580434b5c","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Raisin Chasselas, cru",79.1,0.75,16.9,0.5,16.5,2.0,0.12,0.013,1.0
"5f94f0fa-0d7b-4b0e-aabe-37926ff1bfe6",produits laitiers et assimilés,fromages et assimilés,fromages à pâte molle,Époisses,290.0,17.4,0.0,24.5,0.03,0.0,17.1,1.76,1.0
"4f02ca0d-6ced-4b1f-8354-48f9af68f750","viandes, œufs, poissons et assimilés",viandes cuites,agneau et mouton,"Agneau, côte première, grillée/poêlée",185.0,26.1,0.0,9.01,,0.0,3.67,0.18,1.0
adebc407-6d23-4791-a785-8a1bcf2b0b19,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Granny Smith, pulpe et peau, crue",51.5,0.5,10.7,0.5,10.1,2.8,0.01,0.013,1.0
"80eaa06f-670f-48fc-8b4f-f11f0a73500f","viandes, œufs, poissons et assimilés",charcuteries et assimilés,autres spécialités charcutières,Andouille de Guéméné,234.0,18.0,0.0,18.0,,0.0,,,1.0
"942fc704-5ddd-4f95-8979-7de6819761a8","viandes, œufs, poissons et assimilés",viandes cuites,gibier,"Chevreuil, rôti/cuit au four",150.0,30.2,0.0,3.19,,0.0,1.25,0.14,1.0
fc8d6f3a-9c2f-4d8e-b92f-1ed529ed1656,"viandes, œufs, poissons et assimilés",viandes cuites,gibier,"Cerf, rôti/cuit au four",150.0,30.2,0.0,3.19,,0.0,1.25,0.14,1.0
c47e7b92-57a1-4545-a08e-2c1103c3d767,"viandes, œufs, poissons et assimilés",viandes cuites,autres viandes,"Cheval, viande, rôtie/cuite au four",138.0,28.0,0.0,2.85,,0.0,2.41,0.1,1.0
ba1df721-155c-46d4-82f7-1eb090e5adf3,"viandes, œufs, poissons et assimilés",charcuteries et assimilés,saucisses et assimilés,Saucisse alsacienne fumée ou Gendarme,,19.0,,24.9,,0.0,8.56,2.75,1.0
a40fd54c-b0d8-485f-b26e-c0e68eafabca,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Nectarine ou brugnon, jaune, pulpe et peau, crue",51.3,0.69,11.3,0.5,8.8,0.6,0.01,0.013,1.0
"55775ccd-5e55-423e-9cf0-0e706ac52623","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Nectarine ou brugnon, blanche, pulpe et peau, crue",51.8,0.81,11.4,0.5,8.9,0.5,0.01,0.013,1.0
"44cfc7ec-8044-4417-96a7-e94a2292c675","viandes, œufs, poissons et assimilés",charcuteries et assimilés,autres spécialités charcutières,Andouille de Vire,238.0,19.0,0.0,18.0,,0.0,,,1.0
"94d44ec6-52a7-48cc-a4af-6843d40b6f68",produits laitiers et assimilés,produits laitiers frais et assimilés,fromages blancs,"Fromage blanc et crème fouettée sur lit de fruits, sucré",,4.5,16.0,7.0,15.0,0.0,4.5,0.09,1.0
"1f37b6da-0a12-4234-b212-5b922f6986d1","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Poire Conférence, pulpe, crue",53.1,0.5,11.4,0.5,9.4,3.1,0.01,0.013,1.0
e61ddbe0-8f3b-4fd6-b130-2aa5360f98fc,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Chantecler, pulpe, crue",51.8,0.5,11.2,0.5,10.8,1.9,0.01,0.013,1.0
"97dd55c5-a873-4551-bfad-5d788b54ab24","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Gala, pulpe, crue",54.5,0.5,11.9,0.5,11.1,1.9,0.01,0.013,1.0
e7af32fe-5471-4de3-bef4-968d2b06a21d,produits laitiers et assimilés,produits laitiers frais et assimilés,fromages blancs,"Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ",,6.75,3.74,10.2,3.68,0.0,6.63,0.13,1.0
"645e19ce-d8aa-4c8d-bbd5-5e8c8d215732","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Pink lady, pulpe, crue",60.1,0.5,12.8,0.5,12.3,2.9,0.01,0.013,1.0
